# unique_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# Source: Words.datc64 Wordlist 6 (all PoE2 unique names)
# columns: unique_name	gold_price
Tear of Entropy	
Tear of Purity	
Tecrod's Gaze	
Tempered Flesh	
Tempered Mind	
Tempered Spirit	
Temporalis	31576
Temptation Step	
Terminus Est	
Territories Unknown	
Terror	
Tetzlapokal's Desire	22729
The Admiral	
The Adorned	31138
The Ancient Angler	
The Angel of Vengeance	
The Anima Stone	
The Annihilating Light	
The Anticipation	
The Anvil	20471
The Arbiter	
The Ascetic	
The Aylardex	
The Balance of Terror	
The Baron	0
The Barrow Dweller	9748
The Basilisk	
The Beachhead	
The Beast Fur Shawl	
The Benefactor	
The Black Cane	
The Black Cat	22571
The Black Doubt	9748
The Black Insignia	24714
The Blood Dance	
The Blood Reaper	
The Blood Thorn	9091
The Blood of Innocence	
The Blue Dream	
The Blue Nightmare	
The Brass Dome	27060
The Brine Crown	
The Bringer of Rain	38926
The Broken Crown	
The Builder	
The Burden of Leadership	0
The Burden of Shadows	32243
The Burden of Truth	
The Burrower	10094
The Cauteriser	
The Celestial Brace	0
The Chains of Castigation	
The Changing Seasons	0
The Claim	
The Closest Peak	
The Coming Calamity	28414
The Consuming Dark	
The Covenant	35800
The Coward's Trial	
The Crimson Storm	
The Dancing Dervish	10094
The Dancing Duo	
The Dancing Mirage	10975
The Dark Defiler	9091
The Dark Seer	
The Deep One's Hide	
The Deepest Tower	37071
The Depraved	
The Desperate Alliance	0
The Devouring Diadem	9680
The Druggery	
The Effigon	
The Embalmer	
The Empty Roar	10525
The Endless Night	
The Enmity Divine	
The Ephemeral Bond	
The Epiphany	
The Eternal Apple	
The Eternal Spark	10823
The Eternal Struggle	
The Eternity Shroud	
The Everlasting Gaze	9091
The Fall of the Axe	29040
The Fallen Formation	25950
The False Hope	
The Felbog Fang	
The Flawed Refuge	0
The Fledgling	
The Flesh Poppet	23867
The Flow Untethered	
The Formless Flame	
The Formless Inferno	
The Fourth Vow	
The Fracturing Spinner	
The Front Line	
The Fulcrum	
The Geomantic Gyre	
The Ghastly Theatre	0
The Gluttonous Tide	
The Gnashing Sash	41160
The Goddess Bound	
The Goddess Scorned	
The GoddessUnleashed	
The Golden Rule	
The Grand Project	14207
The Green Dream	
The Green Nightmare	
The Grey Spire	
The Gryphon	
The Gull	
The Halcyon	
The Hammer of Faith	42621
The Harvest	
The Hidden Blade	
The Highwayman	
The Hollow Mask	9348
The Hollow-Eyed Skull	
The Hour of Divinity	
The Hungry Loop	
The Ignomon	
The Immortal Will	
The Immortan	20188
The Infested	
The Infinite Pursuit	10094
The Interrogation	
The Iron Fortress	
The Iron Mass	
The Ivory Tower	0
The Jinxed Juju	
The Knight-errant	9414
The Last Flame	0
The Last Lament	46342
The Learning Stone	
The Lethal Draw	20188
The Long Winter	
The Maelstrom Cell	
The Magnate	
The Megalomaniac	
The Mutable Star	24714
The Naming Temporary	
The Narcissist	
The Nomad	
The Oak	
The Oppressor	
The Overflowing Chalice	
The Pandemonius	19092
The Pariah	
The Peacemaker's Draught	0
The Perandus Manor	
The Peregrine	
The Perfect Form	
The Plaguemaw's Offering	
The Poet's Pen	
The Poised Prism	
The Power and the Promise	
The Primordial Chain	
The Princess	
The Prisoner's Manacles	12357
The Putrid Cloister	
The Queen's Hunger	
The Rack	
The Raging Inferno	
The Rain Festival Beetle	
The Rat Cage	11365
The Rathorn	
The Red Dream	
The Red Nightmare	
The Red Trail	
The Redblade	
The Remembered Tales	0
The Restless Ward	
The Retch	
The Rippling Thoughts	
The Saviour	
The Scales of Justice	
The Scourge	
The Screaming Eagle	
The Searing Touch	20188
The Sentry	9748
The Shattered Divinity	
The Siege	
The Signal Fire	
The Smiling Knight	10823
The Snowblind Grace	
The Sorrow of the Divine	
The Squire	
The Stampede	
The Stormheart	
The Stormwall	
The Supreme Truth	
The Surging Thoughts	
The Surrender	30466
The Tactician	
The Taming	0
The Tempest	
The Tempest Rising	0
The Tempest's Binding	
The Tempest's Liberation	
The Tempestuous Steel	
The Three Dragons	12357
The Torrent's Reclamation	
The Torturer	
The Tower of Ordeals	
The Towering Shadow	0
The Twilight Temple	
The Twisted Trinity	
The Unborn Lich	42621
The Unbridled Tempest	
The Unshattered Will	
The Vast Horizon	
The Velvet Orchestra	0
The Vertex	34094
The Vigil	
The Vile Knight	11365
The Vinktar Square	
The Wailing Wall	31356
The Walls	
The Warden's Brand	
The Warlord's Annex	
The Wasp Nest	
The Watcher in the Dark	
The Whispering Ice	45700
The Wicked Quill	9091
The Winds of Fate	
The Wise Oak	
The Writhing Jar	
The Yielding Mortality	
Thief's Torment	21646
Third Piece of Arcane	
Third Piece of Brutality	
Third Piece of Directions	
Third Piece of Focus	
Third Piece of Storms	
Thirst for Horrors	
Thousand Ribbons	
Thousand Teeth Temu	0
Thread of Hope	
Threaded Light	9414
Three-step Assault	
Thrillsteel	21798
Thunder of the Dawn	
Thunderfist	42621
Thundersight	
Thunderstep	21950
Tidebreaker	24714
Timberwolf	0
Timeclasp	
Timetwist	
Timeworn Relic	
Tinkerskin	0
Tipua Kaikohuru	
Titanrot Cataphract	10379
Titucius' Span	
Titucus Span	
To Dust	
Tombfist	
Torchoak Step	0
Touch of Anguish	
Toxic Vapours	
Trampletoe	21798
Transcendent Flesh	
Transcendent Mind	
Transcendent Spirit	
Treefingers	19496
Tremor Rod	
Trenchtimbre	20188
Trephina	9748
Triad Grip	
Triumvirate Authority	
Trolltimber Spire	
Trypanon	
Tukohama's Fortress	0
Tulborn	
Tulfall	
Twilight Order Relic	
Twisted Distant Memory	
Twyzel	
Tyranny's Grip	9348
Ulaman's Gaze	
Ullr's Advent	
Umbilicus Immortalis	10673
Underdog's Fury	
Undying Hate	31138
Unearth Threshold	
Unending Hunger	
Unforeseen Consequences	28414
Ungil's Coil	
Ungil's Gauche	
Ungil's Harmony	10823
Ungils's Coil	
United in Dream	
Unnatural Evolution	35800
Unnatural Instinct	
Unstable Payload	
Untainted Paradise	
Unyielding Flame	
Usurper's Penance	
Uul-Netol's Embrace	
Uul-Netol's Kiss	
Uul-Netol's Vow	
Uzaza's Meadow	
Uzaza's Mountain	
Uzaza's Valley	
Vaal Caress	
Vaal Relic	
Vaal Sentencing	
Valako's Roar	9348
Valako's Sign	
Valako's Vice	12357
Valyrium	
Vampire's Might	
Varunastra	0
Vaults of Atziri	
Veil of the Night	21950
Venopuncture	11605
Ventor's Contraption	
Ventor's Gamble	14207
Veruso’s Battering Rams	
Vessel of Vinktar	
Vestige of Divinity	
Victario's Acuity	
Victario's Charity	
Victario's Influence	0
Victario's Study	0
Victorious Fate	
Vigilant View	21646
Violent Dead	
Viper's Scales	
Viridi's Veil	
Vis Mortis	27060
Visage of Ayah	10094
Visceral Relic	
Visions of Paradise	28414
Vivinsect	
Vix Lunaris	
Vixen's Entrapment	
Vizaru's Folly	
Voice of the Storm	
Voices	
Void Battery	
Voidborn Relic	
Voidbringer	0
Voideye	0
Voidfletcher	0
Voidforge	
Voidheart	
Voidhome	
Voidwalker	
Volkuur's Guidance	
Voll's Devotion	
Voll's Protector	27249
Voll's Vision	
Volley Fire	
Voltaxic Rift	46993
Vorana's March	
Vorana's Preparation	
Vulconus	
WIP Stone Flask	
Waistgate	25591
Wake of Destruction	10094
Wall of Brambles	
Wandering Reliquary	10899
Wanderlust	9748
War Among the Stars	
Wareclast Pantheon	
Warlord's Reach	
Warped Timepiece	
Warrior's Legacy	
Watcher's Eye	
Waveshaper	12885
Wax and Wane	0
Waycarver	
Weight of Sin	
Weight of the Empire	
Weylam's War Chest	
Whakatutuki o Matua	
Whakawairua Tuahu	
Wheel of the Stormsail	
Whisper of the Brotherhood	11286
White Wind	
Wideswing	
Widow's Reign	24714
Widowhail	9091
Widowmaker	
Wildfire	
Wildslash	
Wildwrap	
Will of Chaos	
Willclash	
Willowgift	
Wilma's Requital	
Window to Paradise	10094
Windpiercer	0
Windripper	
Winds of Change	
Windscream	22729
Windshriek	
Wings of Caelyn	9091
Wings of Entropy	
Wings of Vastiri	0
Winter Burial	
Winter's Bite	9091
Winter's Bounty	
Winterheart	
Winterweave	
Witchbane	
Witchfire Brew	
Witchhunter’s Judgment	
Wondertrap	10899
Worldcarver	
Wraeclast Besieged	14207
Wraithlord	
Wreath of Phrecia	
Wulfsbane	9414
Wurm's Molt	
Wurmfist	
Wylund's Stake	18567
Wyrmsign	
Xirgil's Crank	
Xoph's Blood	19092
Xoph's Heart	
Xoph's Inception	
Xoph's Nurture	
Yaomac's Accord	
Ylfe Ban	
Ylfeban's Trickery	
Yoke of Suffering	30707
Yriel's Fostering	25950
Zahndethus' Cassock	
Zeel's Amplifier	
Zerphi's Genesis	25591
Zerphi's Heart	
Zerphi's Last Breath	
Zerphi's Serape	35551
Zerphi's Youth	
[DNT] AbyssExileDruid1	
[DNT] AbyssExileDuelist1	
[DNT] AbyssExileMarauder1	
[DNT] AbyssExileShadow1	
[DNT] AbyssExileTemplar1	
[DNT] Bellowing Bull	
[DNT] Cloudfang's Will	
[DNT] Coil of Undoing	
[DNT] Crimson Crysallis	
[DNT] Death Magic	
[DNT] Disfigurine	
[DNT] Fleeting Form	
[DNT] Image of the Divine	
[DNT] King of the Storm	
[DNT] Marrowbound Pact	
[DNT] The Auspex	
[DNT] The Black Winter	
[DNT] The Packleader	
[DNT] Woodsman's Word	
[UNUSED Magnetic Ward	
[UNUSED] Unique Heist Contract	
