# base_item_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: metadata_path	display_name
Metadata/Items/AtlasUpgrades/AtlasUpgradePrimordial4	Omniscient Voidstone
Metadata/Items/AtlasExiles/AddModToRareCrusader	Crusader's Exalted Orb
Metadata/Items/AtlasExiles/AddModToRareRedeemer	Redeemer's Exalted Orb
Metadata/Items/AtlasExiles/AddModToRareHunter	Hunter's Exalted Orb
Metadata/Items/AtlasExiles/AddModToRareWarlord	Warlord's Exalted Orb
Metadata/Items/AtlasExiles/ApplyInfluence	Awakener's Orb
Metadata/Items/Weapons/OneHandWeapons/Daggers/EtherealBlade1	Ethereal Blade
Metadata/Items/Heist/HeistCoin	Rogue's Marker
Metadata/Items/Heist/HeistContractControlBlocks	Contract: Bunker
Metadata/Items/Heist/HeistContractMines	Contract: Smuggler's Den
Metadata/Items/Heist/HeistContractDungeon	Contract: Laboratory
Metadata/Items/Heist/HeistContractReliquary	Contract: Repository
Metadata/Items/Heist/HeistContractLibrary	Contract: Prohibited Library
Metadata/Items/Heist/HeistContractRobotTunnels	Contract: Tunnels
Metadata/Items/Heist/HeistContractSewers	Contract: Underbelly
Metadata/Items/Heist/HeistContractCourts	Contract: Records Office
Metadata/Items/Heist/HeistContractMansion	Contract: Mansion
Metadata/Items/Heist/HeistBlueprintControlBlocks	Blueprint: Bunker
Metadata/Items/Heist/HeistBlueprintMines	Blueprint: Smuggler's Den
Metadata/Items/Heist/HeistBlueprintDungeon	Blueprint: Laboratory
Metadata/Items/Heist/HeistBlueprintReliquary	Blueprint: Repository
Metadata/Items/Heist/HeistBlueprintLibrary	Blueprint: Prohibited Library
Metadata/Items/Heist/HeistBlueprintRobotTunnels	Blueprint: Tunnels
Metadata/Items/Heist/HeistBlueprintSewers	Blueprint: Underbelly
Metadata/Items/Heist/HeistBlueprintCourts	Blueprint: Records Office
Metadata/Items/Heist/HeistBlueprintMansion	Blueprint: Mansion
Metadata/Items/Heist/HeistEquipmentWeaponTest	[UNUSED] Heist Test Weapon
Metadata/Items/Heist/HeistEquipmentToolTest	[UNUSED] Heist Test Tool
Metadata/Items/Heist/HeistEquipmentUtilityTest	[UNUSED] Heist Test Utility Equipment
Metadata/Items/Heist/HeistEquipmentRewardTest	[UNUSED] Heist Test Reward Equipment
Metadata/Items/Heist/QuestContracts/HeistContractTutorial	Contract: Trial Run
Metadata/Items/Heist/QuestContracts/HeistContractQuestKarst1	Contract: Stolen Lockpicks
Metadata/Items/Heist/QuestContracts/HeistContractQuestKarst2	Contract: Karst's Revenge
Metadata/Items/Heist/QuestContracts/HeistContractQuestKarst3	Contract: Credit Where Credit's Due
Metadata/Items/Heist/QuestContracts/HeistContractQuestTibbs1	Contract: Finding Opal
Metadata/Items/Heist/QuestContracts/HeistContractQuestTibbs2	Contract: Opal's Jewels
Metadata/Items/Heist/QuestContracts/HeistContractQuestHuck1	Contract: Enoch's Whereabouts
Metadata/Items/Heist/QuestContracts/HeistContractQuestHuck2	Contract: Enoch's Remains
Metadata/Items/Heist/QuestContracts/HeistContractQuestVinderi1	Contract: Grocery List
Metadata/Items/Heist/QuestContracts/HeistContractQuestVinderi2	Contract: The Vinderi Bomb
Metadata/Items/Heist/QuestContracts/HeistContractQuestGianna1	Contract: The Nameless Play
Metadata/Items/Heist/QuestContracts/HeistContractQuestGianna2	Contract: The Finest Costumes
Metadata/Items/Heist/QuestContracts/HeistContractQuestTullina1	Contract: The Wedding Dress
Metadata/Items/Heist/QuestContracts/HeistContractQuestTullina2	Contract: Disengagement
Metadata/Items/Heist/QuestContracts/HeistContractQuestNiles1	Contract: Rational Tools
Metadata/Items/Heist/QuestContracts/HeistContractQuestNiles2	Contract: A Mundane Sample
Metadata/Items/Heist/QuestContracts/HeistContractQuestNenet1	Contract: The Book of Jamanra
Metadata/Items/Heist/QuestContracts/HeistContractQuestNenetRepeatable	Forbidden Contract
Metadata/Items/Heist/QuestContracts/HeistContractQuestIsla1	Contract: Isla's Prototypes
Metadata/Items/Heist/QuestContracts/HeistContractQuestIsla2	Contract: Isla's Designs
Metadata/Items/Heist/QuestContracts/HeistContractQuestIslaRepeatable	Preventative Contract
Metadata/Items/Heist/QuestContracts/HeistContractQuestAdiyah1	Contract: A Matter of Honour
Metadata/Items/Heist/QuestContracts/HeistContractQuestAdiyah2	Contract: Flying False Colours
Metadata/Items/Heist/QuestContracts/HeistContractQuestAdiyahRepeatable	Familial Contract
Metadata/Items/Heist/QuestContracts/HeistContractQuestWhakano1	Contract: Slaver's Revenge
Metadata/Items/Heist/QuestContracts/HeistContractQuestWhakano2	Contract: Follow the Paper Trail
Metadata/Items/Heist/QuestContracts/HeistContractQuestWhakanoRepeatable	Vigilante Contract
Metadata/Items/Heist/QuestContracts/HeistContractQuestFaustus1	Contract: The Admiral's Records
Metadata/Items/Heist/QuestContracts/HeistContractQuestFaustus2	Contract: Findings for Fidium
Metadata/Items/Heist/QuestContracts/HeistContractQuestFaustusRepeatable	Naval Contract
Metadata/Items/Heist/QuestContracts/HeistContractQuestKurai1	Contract: Hyrri's Gift
Metadata/Items/Heist/QuestContracts/HeistContractQuestKurai2	Contract: The Negotiation
Metadata/Items/Heist/QuestContracts/HeistContractQuestKurai3	Contract: The Rescue
Metadata/Items/Heist/QuestContracts/HeistContractQuestKuraiRepeatable	Vengeful Contract
Metadata/Items/Heist/HeistEquipmentCloak1	Torn Cloak
Metadata/Items/Heist/HeistEquipmentCloak2	Tattered Cloak
Metadata/Items/Heist/HeistEquipmentCloak3	Hooded Cloak
Metadata/Items/Heist/HeistEquipmentCloak4	Whisper-woven Cloak
Metadata/Items/Heist/HeistEquipmentBrooch1	Silver Brooch
Metadata/Items/Heist/HeistEquipmentBrooch2	Golden Brooch
Metadata/Items/Heist/HeistEquipmentBrooch3	Enamel Brooch
Metadata/Items/Heist/HeistEquipmentBrooch4	Foliate Brooch
Metadata/Items/Heist/HeistEquipmentLockpicking1	Simple Lockpick
Metadata/Items/Heist/HeistEquipmentLockpicking2	Standard Lockpick
Metadata/Items/Heist/HeistEquipmentLockpicking3	Fine Lockpick
Metadata/Items/Heist/HeistEquipmentLockpicking4	Master Lockpick
Metadata/Items/Heist/HeistEquipmentBruteForce1	Leather Bracers
Metadata/Items/Heist/HeistEquipmentBruteForce2	Studded Bracers
Metadata/Items/Heist/HeistEquipmentBruteForce3	Runed Bracers
Metadata/Items/Heist/HeistEquipmentBruteForce4	Steel Bracers
Metadata/Items/Heist/HeistEquipmentPerception1	Crude Sensing Charm
Metadata/Items/Heist/HeistEquipmentPerception2	Fine Sensing Charm
Metadata/Items/Heist/HeistEquipmentPerception3	Polished Sensing Charm
Metadata/Items/Heist/HeistEquipmentPerception4	Thaumaturgical Sensing Charm
Metadata/Items/Heist/HeistEquipmentDemolition1	Voltaxic Flashpowder
Metadata/Items/Heist/HeistEquipmentDemolition2	Trarthan Flashpowder
Metadata/Items/Heist/HeistEquipmentDemolition3	Azurite Flashpowder
Metadata/Items/Heist/HeistEquipmentDemolition4	Thaumetic Flashpowder
Metadata/Items/Heist/HeistEquipmentCounterThaumaturge1	Crude Ward
Metadata/Items/Heist/HeistEquipmentCounterThaumaturge2	Lustrous Ward
Metadata/Items/Heist/HeistEquipmentCounterThaumaturge3	Shining Ward
Metadata/Items/Heist/HeistEquipmentCounterThaumaturge4	Thaumaturgical Ward
Metadata/Items/Heist/HeistEquipmentTrapDisarmament1	Essential Keyring
Metadata/Items/Heist/HeistEquipmentTrapDisarmament2	Versatile Keyring
Metadata/Items/Heist/HeistEquipmentTrapDisarmament3	Skeleton Keyring
Metadata/Items/Heist/HeistEquipmentTrapDisarmament4	Grandmaster Keyring
Metadata/Items/Heist/HeistEquipmentAgility1	Eelskin Sole
Metadata/Items/Heist/HeistEquipmentAgility2	Foxhide Sole
Metadata/Items/Heist/HeistEquipmentAgility3	Winged Sole
Metadata/Items/Heist/HeistEquipmentAgility4	Silkweave Sole
Metadata/Items/Heist/HeistEquipmentDeception1	Basic Disguise Kit
Metadata/Items/Heist/HeistEquipmentDeception2	Theatre Disguise Kit
Metadata/Items/Heist/HeistEquipmentDeception3	Espionage Disguise Kit
Metadata/Items/Heist/HeistEquipmentDeception4	Regicide Disguise Kit
Metadata/Items/Heist/HeistEquipmentEngineering1	Steel Drill
Metadata/Items/Heist/HeistEquipmentEngineering2	Flanged Drill
Metadata/Items/Heist/HeistEquipmentEngineering3	Sulphur Blowtorch
Metadata/Items/Heist/HeistEquipmentEngineering4	Thaumetic Blowtorch
Metadata/Items/Heist/HeistEquipmentMelee1	Rough Sharpening Stone
Metadata/Items/Heist/HeistEquipmentMelee2	Standard Sharpening Stone
Metadata/Items/Heist/HeistEquipmentMelee3	Fine Sharpening Stone
Metadata/Items/Heist/HeistEquipmentMelee4	Obsidian Sharpening Stone
Metadata/Items/Heist/HeistEquipmentRanged1	Flanged Arrowhead
Metadata/Items/Heist/HeistEquipmentRanged2	Fragmenting Arrowhead
Metadata/Items/Heist/HeistEquipmentRanged3	Hollowpoint Arrowhead
Metadata/Items/Heist/HeistEquipmentRanged4	Precise Arrowhead
Metadata/Items/Heist/HeistEquipmentCaster1	Focal Stone
Metadata/Items/Heist/HeistEquipmentCaster2	Conduit Line
Metadata/Items/Heist/HeistEquipmentCaster3	Aggregator Charm
Metadata/Items/Heist/HeistEquipmentCaster4	Burst Band
Metadata/Items/Heist/HeistFinalObjective1	Urn of Farud
Metadata/Items/Heist/HeistFinalObjective2	Box of Tripyxis
Metadata/Items/Heist/HeistFinalObjective3	Incense of Keth
Metadata/Items/Heist/HeistFinalObjective4	Crest of Ezomyr
Metadata/Items/Heist/HeistFinalObjective5	Ez Myrae Tome
Metadata/Items/Heist/HeistFinalObjective6	Hand of Arimor
Metadata/Items/Heist/HeistFinalObjective7	Abberathine Horns
Metadata/Items/Heist/HeistFinalObjective8	Admiral Proclar's Pipe
Metadata/Items/Heist/HeistFinalObjective9	Alchemical Chalice
Metadata/Items/Heist/HeistFinalObjective10	Ogham Candelabra
Metadata/Items/Heist/HeistFinalObjective11	Tusked Hominid Skull
Metadata/Items/Heist/HeistFinalObjective12	Celestial Stone
Metadata/Items/Heist/HeistFinalObjective13	Urn of the Original Ashes
Metadata/Items/Heist/HeistFinalObjective14	Heart Coil
Metadata/Items/Heist/HeistFinalObjective15	Enigmatic Assembly A4
Metadata/Items/Heist/HeistFinalObjective16	Enigmatic Assembly B2
Metadata/Items/Heist/HeistFinalObjective17	Enigmatic Assembly C5
Metadata/Items/Heist/HeistFinalObjective18	Enigmatic Assembly D1
Metadata/Items/Heist/HeistFinalObjective19	Mirror of Teklatipitzi
Metadata/Items/Heist/HeistFinalObjective20	Bust of Emperor Caspiro
Metadata/Items/Heist/HeistFinalObjective21	Golden Hetzapal Idol
Metadata/Items/Heist/HeistFinalObjective22	Flask of Welakath
Metadata/Items/Heist/HeistFinalObjective23	Forbidden Lamp
Metadata/Items/Heist/HeistFinalObjective24	The Goddess of Water
Metadata/Items/Heist/HeistFinalObjective25	The Golden Ibis
Metadata/Items/Heist/HeistFinalObjective26	Impossible Crystal
Metadata/Items/Heist/HeistFinalObjective27	Living Ice
Metadata/Items/Heist/HeistFinalObjective28	Seal of Lunaris
Metadata/Items/Heist/HeistFinalObjective29	Golden Matatl Idol
Metadata/Items/Heist/HeistFinalObjective30	The Sea Pearl Heirloom
Metadata/Items/Heist/HeistFinalObjective31	Seal of Solaris
Metadata/Items/Heist/HeistFinalObjective32	Golden Napuatzi Idol
Metadata/Items/Heist/HeistFinalObjective33	Essence Burner
Metadata/Items/Heist/HeistFinalObjective34	Ancient Seal
Metadata/Items/Heist/HeistFinalObjective35	Blood of Innocence
Metadata/Items/Heist/HeistFinalObjective36	Dekhara's Resolve
Metadata/Items/Heist/HeistFinalObjective37	Orbala's Fifth Adventure
Metadata/Items/Heist/HeistFinalObjective38	Staff of the First Sin Eater
Metadata/Items/Heist/HeistFinalObjective39	Sword of the Inverse Relic
Metadata/Items/Heist/HeistFinalObjective40	Golden Slave Idol
Metadata/Items/Heist/HeistFinalObjective41	Golden Xoplotli Idol
Metadata/Items/Heist/HeistFinalObjective42	Ceremonial Goblet
Metadata/Items/Heist/HeistFinalObjective43	Crested Golden Idol
Metadata/Items/Heist/HeistFinalObjective44	Golden Ceremonial Mask
Metadata/Items/Heist/HeistFinalObjective45	Golden Prayer Idol
Metadata/Items/Heist/HeistFinalObjective46	Golden Grotesque
Metadata/Items/Heist/HeistFinalObjective47	Golden Sacrificial Glyph
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestKarst1	Karst's Lockpicks
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestKarst2	"The Kiss Goodnight"
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestKarst3	Poisoned Lockpick
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestTibbs1	Census Records
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestTibbs2	Tibbs' Wealth
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestHuck1	Blackguard Personnel Files
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestHuck2	Enoch's Tags
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestVinderi1	Alchemical Supplies
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestVinderi2	Fumarole Tar
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestGianna1	"The Nameless Play"
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestGianna2	Templar Uniforms
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestTullina1	Merveil's Wedding Dress
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestTullina2	Tullina's Engagement Ring
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestNiles1	The Thought Extractor
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestNiles2	Viridi's Finger
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestNenet1	The Book of Jamanra
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestNenet2	Jamanra, the Legendary Warrior
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestIsla1	Pile of Inexplicable Junk
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestIsla2	Baffling Blueprints
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestIsla3	The Unbreakable
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestAdiyah1	Solerai's Spear
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestAdiyah2	Nashta's War Journal
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestAdiyah3	Confront Nashta
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestWhakano1	Hapihapi's Charm
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestWhakano2	Slaver's Records
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestWhakano3	The Blood Idol
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestFaustus1	Admiral Darnaw's Papers
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestFaustus1B	Admiral Darnaw's Papers
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestFaustus2	Fleet Orders
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestFaustus3	Admiral Darnaw
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestKurai1	"O' Eternal"
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestKurai2	Negotiate with the Client
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestKurai3	Rescue Hana
Metadata/Items/Heist/QuestItems/HeistFinalObjectiveQuestKurai4	The Vox Twins
Metadata/Items/Currency/CurrencyUpgradeInfluenceMod	Orb of Dominance
Metadata/Items/QuestItems/Act11/MavenMapDeviceAlteration	The Maven's Beacon
Metadata/Items/QuestItems/Act11/TangleMapDeviceAlteration	Flesh Compass
Metadata/Items/QuestItems/Act11/CleansingFireMapDeviceAlteration	Luminous Astrolabe
Metadata/Items/MapFragments/Maven/MavenMapVoid1	Maven's Invitation: The Formed
Metadata/Items/MapFragments/Maven/MavenMapVoid2	Maven's Invitation: The Twisted
Metadata/Items/MapFragments/Maven/MavenMapVoid3	Maven's Invitation: The Forgotten
Metadata/Items/MapFragments/Maven/MavenMapVoid4	Maven's Invitation: The Hidden
Metadata/Items/MapFragments/Maven/MavenMapVoid5	Maven's Invitation: The Feared
Metadata/Items/MapFragments/Maven/MavenMapVoid6	Maven's Invitation: The Elderslayers
Metadata/Items/MapFragments/Maven/MavenMapAtlas1	Maven's Invitation: The Atlas
Metadata/Items/MapFragments/Maven/MavenMapAtlas2	Maven's Invitation: The Atlas
Metadata/Items/MapFragments/Maven/MavenMapAtlas3	Maven's Invitation: The Atlas
Metadata/Items/MapFragments/Maven/MavenMapAtlas4	Maven's Invitation: The Atlas
Metadata/Items/MapFragments/Maven/MavenMapAtlas5	Maven's Invitation: The Atlas
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopLeft1	Maven's Invitation: Haewark Hamlet
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopLeft2	Maven's Invitation: Haewark Hamlet
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopLeft3	Maven's Invitation: Haewark Hamlet
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopLeft4	Maven's Invitation: Haewark Hamlet
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopLeft5	Maven's Invitation: Haewark Hamlet
Metadata/Items/MapFragments/Maven/MavenMapInsideTopLeft1	Maven's Invitation: Tirn's End
Metadata/Items/MapFragments/Maven/MavenMapInsideTopLeft2	Maven's Invitation: Tirn's End
Metadata/Items/MapFragments/Maven/MavenMapInsideTopLeft3	Maven's Invitation: Tirn's End
Metadata/Items/MapFragments/Maven/MavenMapInsideTopLeft4	Maven's Invitation: Tirn's End
Metadata/Items/MapFragments/Maven/MavenMapInsideTopLeft5	Maven's Invitation: Tirn's End
Metadata/Items/MapFragments/Maven/MavenMapInsideTopRight1	Maven's Invitation: Lex Proxima
Metadata/Items/MapFragments/Maven/MavenMapInsideTopRight2	Maven's Invitation: Lex Proxima
Metadata/Items/MapFragments/Maven/MavenMapInsideTopRight3	Maven's Invitation: Lex Proxima
Metadata/Items/MapFragments/Maven/MavenMapInsideTopRight4	Maven's Invitation: Lex Proxima
Metadata/Items/MapFragments/Maven/MavenMapInsideTopRight5	Maven's Invitation: Lex Proxima
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopRight1	Maven's Invitation: Lex Ejoris
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopRight2	Maven's Invitation: Lex Ejoris
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopRight3	Maven's Invitation: Lex Ejoris
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopRight4	Maven's Invitation: Lex Ejoris
Metadata/Items/MapFragments/Maven/MavenMapOutsideTopRight5	Maven's Invitation: Lex Ejoris
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomLeft1	Maven's Invitation: New Vastir
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomLeft2	Maven's Invitation: New Vastir
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomLeft3	Maven's Invitation: New Vastir
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomLeft4	Maven's Invitation: New Vastir
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomLeft5	Maven's Invitation: New Vastir
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomLeft1	Maven's Invitation: Glennach Cairns
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomLeft2	Maven's Invitation: Glennach Cairns
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomLeft3	Maven's Invitation: Glennach Cairns
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomLeft4	Maven's Invitation: Glennach Cairns
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomLeft5	Maven's Invitation: Glennach Cairns
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomRight1	Maven's Invitation: Valdo's Rest
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomRight2	Maven's Invitation: Valdo's Rest
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomRight3	Maven's Invitation: Valdo's Rest
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomRight4	Maven's Invitation: Valdo's Rest
Metadata/Items/MapFragments/Maven/MavenMapInsideBottomRight5	Maven's Invitation: Valdo's Rest
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomRight1	Maven's Invitation: Lira Arthain
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomRight2	Maven's Invitation: Lira Arthain
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomRight3	Maven's Invitation: Lira Arthain
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomRight4	Maven's Invitation: Lira Arthain
Metadata/Items/MapFragments/Maven/MavenMapOutsideBottomRight5	Maven's Invitation: Lira Arthain
Metadata/Items/MapFragments/CurrencyMavenKey	The Maven's Writ
Metadata/Items/MapFragments/CurrencyMavenKeyFragment	Crescent Splinter
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_1	Chromium Haewark Hamlet Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_2	Chromium Tirn's End Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_3	Chromium Lex Proxima Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_4	Chromium Lex Ejoris Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_5	Chromium New Vastir Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_6	Chromium Glennach Cairns Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_7	Chromium Valdo's Rest Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable1_8	Chromium Lira Arthain Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_1	Platinum Haewark Hamlet Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_2	Platinum Tirn's End Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_3	Platinum Lex Proxima Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_4	Platinum Lex Ejoris Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_5	Platinum New Vastir Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_6	Platinum Glennach Cairns Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_7	Platinum Valdo's Rest Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable2_8	Platinum Lira Arthain Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_1	Titanium Haewark Hamlet Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_2	Titanium Tirn's End Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_3	Titanium Lex Proxima Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_4	Titanium Lex Ejoris Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_5	Titanium New Vastir Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_6	Titanium Glennach Cairns Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_7	Titanium Valdo's Rest Watchstone
Metadata/Items/AtlasUpgrades/AtlasUpgradeCraftable3_8	Titanium Lira Arthain Watchstone
Metadata/Items/Incursion/ItemisedTemple	Chronicle of Atzoatl
Metadata/Items/Ultimatum/ItemisedTrial	Inscribed Ultimatum
Metadata/Items/MapFragments/CurrencyHarvestBossKey	Sacred Blossom
Metadata/Items/Expedition/ExpeditionLogbook	Expedition Logbook
Metadata/Items/Currency/CurrencyEnkindlingOrb	Enkindling Orb
Metadata/Items/Currency/CurrencyInstillingOrb	Instilling Orb
Metadata/Items/Currency/CurrencyRefreshExpedition	Exotic Coinage
Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction1	Broken Circle Artifact
Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction2	Black Scythe Artifact
Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction3	Order Artifact
Metadata/Items/Expedition/ExpeditionVendorCurrencyFaction4	Sun Artifact
Metadata/Items/Currency/CurrencyHellscapeRerollSocketColours	Tainted Chromatic Orb
Metadata/Items/Currency/CurrencyHellscapeRerollSocketLinks	Tainted Orb of Fusing
Metadata/Items/Currency/CurrencyHellscapeRerollSocketNumbers	Tainted Jeweller's Orb
Metadata/Items/Currency/CurrencyHellscapeRerollRare	Tainted Chaos Orb
Metadata/Items/Currency/CurrencyHellscapeAddModToRare	Tainted Exalted Orb
Metadata/Items/Currency/CurrencyHellscapeUpgradeToUnique	Tainted Mythic Orb
Metadata/Items/Currency/CurrencyHellscapeArmourQuality	Tainted Armourer's Scrap
Metadata/Items/Currency/CurrencyHellscapeWeaponQuality	Tainted Blacksmith's Whetstone
Metadata/Items/Currency/CurrencyHellscapeUpgradeModTier	Tainted Divine Teardrop
Metadata/Items/Weapons/OneHandWeapons/OneHandSwords/StormBladeOneHand	Energy Blade
Metadata/Items/Weapons/TwoHandWeapons/TwoHandSwords/StormBladeTwoHand	Energy Blade
Metadata/Items/Currency/RandomFossilOutcome1	
Metadata/Items/Currency/RandomFossilOutcome2	
Metadata/Items/Currency/RandomFossilOutcome3	
Metadata/Items/Currency/RandomFossilOutcome4	
Metadata/Items/Currency/RandomFossilOutcome5	
Metadata/Items/Currency/RandomFossilOutcome6	
Metadata/Items/Currency/RandomFossilOutcome7	
Metadata/Items/Currency/RandomFossilOutcome8	
Metadata/Items/Currency/RandomFossilOutcome9	
Metadata/Items/Currency/RandomFossilOutcome10	
Metadata/Items/Currency/RandomFossilOutcome11	
Metadata/Items/Currency/RandomFossilOutcome12	
Metadata/Items/Currency/RandomFossilOutcome13	
Metadata/Items/Currency/RandomFossilOutcome14	
Metadata/Items/Currency/RandomFossilOutcome15	
Metadata/Items/Currency/RandomFossilOutcome16	
Metadata/Items/Currency/RandomFossilOutcome17	
Metadata/Items/Currency/RandomFossilOutcome18	
Metadata/Items/Currency/RandomFossilOutcome19	
Metadata/Items/Currency/RandomFossilOutcome20	
Metadata/Items/Currency/RandomFossilOutcome21	
Metadata/Items/Currency/RandomFossilOutcome22	
Metadata/Items/Currency/RandomFossilOutcome23	
Metadata/Items/Currency/RandomFossilOutcome24	
Metadata/Items/Currency/RandomFossilOutcome25	
Metadata/Items/Currency/RandomFossilOutcome26	
Metadata/Items/Currency/RandomFossilOutcome27	
Metadata/Items/Currency/RandomFossilOutcome28	
Metadata/Items/Currency/RandomFossilOutcome29	
Metadata/Items/Currency/RandomFossilOutcome30	
Metadata/Items/Currency/RandomFossilOutcome31	
Metadata/Items/Currency/RandomFossilOutcome32	
Metadata/Items/Currency/RandomFossilOutcome33	
Metadata/Items/Currency/RandomFossilOutcome34	
Metadata/Items/Currency/RandomFossilOutcome35	
Metadata/Items/Currency/RandomFossilOutcome36	
Metadata/Items/Currency/RandomFossilOutcome37	
Metadata/Items/Currency/RandomFossilOutcome38	
Metadata/Items/Currency/RandomFossilOutcome39	
Metadata/Items/Currency/RandomFossilOutcome40	
Metadata/Items/Currency/RandomFossilOutcome41	
Metadata/Items/Currency/RandomFossilOutcome42	
Metadata/Items/Currency/RandomFossilOutcome43	
Metadata/Items/Currency/RandomFossilOutcome44	
Metadata/Items/Currency/RandomFossilOutcome45	
Metadata/Items/Currency/RandomFossilOutcome46	
