# stat_desc_map.tsv - generated by build_stat_desc_map.py
# Format: stat_id TAB template TAB arg_index TAB group_ids
# template placeholders: {0} {1} = stat values; wiki links stripped
# arg_index: which {N} this stat fills (0=first, 1=second, ...)
# group_ids: comma-separated group (multi-stat entries share a template)
%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100	Consuming Glory grants you {0}% increased Attack damage per Glory consumed for 6 seconds, up to 60%	0	%_attack_damage_per_glory_consumed_for_6_seconds_up_to_100
%_chance_for_crossbow_reload_to_be_instant	{0}% chance when you Reload a Crossbow to be immediate	0	%_chance_for_crossbow_reload_to_be_instant
%_chance_to_blind_on_critical_strike	{0}% chance to Blind Enemies on Critical Hit	0	%_chance_to_blind_on_critical_strike
%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth	Critical Hits have {0}% chance to Blind Enemies while you have Cat's Stealth	0	%_chance_to_blind_on_critical_strike_while_you_have_cats_stealth
%_chance_to_cause_bleeding_enemies_to_flee_on_hit	{0}% Chance to cause Bleeding Enemies to Flee on hit	0	%_chance_to_cause_bleeding_enemies_to_flee_on_hit
%_chance_to_create_smoke_cloud_on_mine_or_trap_creation	{0}% chance to create a Smoke Cloud when you lay a Mine or throw a Trap	0	%_chance_to_create_smoke_cloud_on_mine_or_trap_creation
%_chance_to_deal_150%_area_damage_+%_final	Hits have {0}% chance to deal 50% more Area Damage	0	%_chance_to_deal_150%_area_damage_+%_final
%_chance_to_duplicate_dropped_sentinels	{}% chance for found Sentinels to be Duplicated	0	%_chance_to_duplicate_dropped_sentinels
%_chance_to_gain_endurance_charge_each_second_while_channelling	{0}% chance to gain an Endurance Charge each second while Channelling	0	%_chance_to_gain_endurance_charge_each_second_while_channelling
%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_endurance_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Frenzy Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_frenzy_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy	Supported Skills have {0}% chance to gain a Frenzy Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_frenzy_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life	{0}% chance to gain a Power Charge on Hit against Enemies that are on Full Life	0	%_chance_to_gain_power_charge_on_hit_against_enemies_on_full_life
%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy	{0}% chance to gain a Power Charge when a Mine from Supported\nSkills is Detonated targeting an Enemy	0	%_chance_to_gain_power_charge_on_mine_detonated_targeting_an_enemy
%_chance_to_gain_power_charge_on_placing_a_totem	{0}% chance to gain a Power Charge when you Summon a Totem	0	%_chance_to_gain_power_charge_on_placing_a_totem
%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy	Supported Skills have {0}% chance to gain a Power Charge when your Trap is triggered by an Enemy	0	%_chance_to_gain_power_charge_on_trap_triggered_by_an_enemy
%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy	{0}% chance to gain an Endurance, Frenzy or Power Charge when any\nof your Traps are Triggered by an Enemy	0	%_chance_to_gain_random_charge_on_trap_triggered_by_an_enemy
%_maximum_life_as_focus	Enemies have Maximum Concentration equal to {0}% of their Maximum Life	0	%_maximum_life_as_focus
%_maximum_life_inflicted_as_aoe_fire_damage_when_hit	Deal {0}% of your maximum Life as Fire Damage to nearby Enemies when Hit	0	base_%_maximum_life_inflicted_as_aoe_fire_damage_when_hit
%_number_of_raging_spirits_allowed	{0}% increased Maximum number of Summoned Raging Spirits	0	%_number_of_raging_spirits_allowed
%_of_life_regeneration_applies_to_totems	{}% of your Life Regeneration applies to your Totems aswell	0	%_of_life_regeneration_applies_to_totems
%_physical_damage_bypasses_energy_shield	Physical Damage taken bypasses Energy Shield	0	%_physical_damage_bypasses_energy_shield
elementalist_elemental_damage_+%_for_5_seconds	Gain {0}% increased Elemental Damage for 5 seconds	0	elementalist_elemental_damage_+%_for_5_seconds
elementalist_fire_penetration_%_for_4_seconds_on_using_lightning_skill	Damage Penetrates {0}% Fire Resistance if you've\nused a Lightning Skill in the past 10 seconds	0	elementalist_fire_penetration_%_for_4_seconds_on_using_lightning_skill
elementalist_gain_shaper_of_desolation_every_10_seconds	Every 14 seconds:\nGain Chilling Conflux for 4 seconds\nGain Shocking Conflux for 4 seconds\nGain Igniting Conflux for 4 seconds\nGain Chilling, Shocking and Igniting Conflux for 2 seconds	0	elementalist_gain_shaper_of_desolation_every_10_seconds
elementalist_ignite_effect_+%_final	{0}% more Magnitude of Ignite you inflict	0	elementalist_ignite_effect_+%_final
elementalist_lightning_penetration_%_for_4_seconds_on_using_cold_skill	Damage Penetrates {0}% Lightning Resistance if you've\nused a Cold Skill in the past 10 seconds	0	elementalist_lightning_penetration_%_for_4_seconds_on_using_cold_skill
elementalist_skill_area_of_effect_+%_for_4_seconds_every_10_seconds	Every 10 seconds, gain {0}% increased Area of Effect for 4 seconds	0	elementalist_skill_area_of_effect_+%_for_4_seconds_every_10_seconds
elementalist_summon_elemental_golem_on_killing_enemy_with_element_%	{0}% chance to Summon a Lesser Elemental Golem when\nyou Kill an Enemy using Elemental Damage	0	elementalist_summon_elemental_golem_on_killing_enemy_with_element_%
elusive_effect_+%	{0}% increased Effect of Elusive from Supported Skills	0	elusive_effect_+%
elusive_effect_on_self_+%_per_power_charge	{0}% increased Effect of Elusive on you per Power Charge	0	elusive_effect_on_self_+%_per_power_charge
ember_projectile_spread_area_+%	Blazing Salvo Projectiles land in a {0}% increased Area	0	ember_projectile_spread_area_+%
empower_barrage_base_number_of_barrage_repeats	Empowered Attacks Repeat {0:+d} time	0	empower_barrage_base_number_of_barrage_repeats,empower_barrage_number_of_barrage_repeats_per_frenzy_charge
empower_barrage_damage_-%_final_with_repeated_projectiles	Repeats deal {0:+d}% more Damage	0	empower_barrage_damage_-%_final_with_repeated_projectiles,quality_display_barrage_is_gem
empower_barrage_number_of_barrage_repeats_per_frenzy_charge	Empowered Attacks Repeat {0:+d} time	1	empower_barrage_base_number_of_barrage_repeats,empower_barrage_number_of_barrage_repeats_per_frenzy_charge
empowered_attack_damage_+%	Empowered Attacks deal {0}% increased Damage	0	empowered_attack_damage_+%
empowered_attack_damage_+%_per_10_tribute	Empowered Attacks deal {0}% increased damage per 10 Tribute	0	empowered_attack_damage_+%_per_10_tribute
empowered_attack_double_damage_%_chance	Exerted Attacks have {0}% chance to deal Double Damage	0	empowered_attack_double_damage_%_chance
empowered_attack_hit_damage_stun_multiplier_+%	Empowered Attacks have {0}% increased Stun Buildup	0	empowered_attack_hit_damage_stun_multiplier_+%
empowered_attack_physical_damage_%_to_gain_as_fire	Empowered Attacks Gain {0}% of Physical Damage as Extra Fire damage	0	empowered_attack_physical_damage_%_to_gain_as_fire
enable_ring_slot_3	+1 Ring Slot	0	enable_ring_slot_3
enchantment_boots_added_cold_damage_when_hit_maximum	Adds {0} to {1} Cold Damage if you've been Hit Recently	1	enchantment_boots_added_cold_damage_when_hit_minimum,enchantment_boots_added_cold_damage_when_hit_maximum
enchantment_boots_added_cold_damage_when_hit_minimum	Adds {0} to {1} Cold Damage if you've been Hit Recently	0	enchantment_boots_added_cold_damage_when_hit_minimum,enchantment_boots_added_cold_damage_when_hit_maximum
enchantment_boots_attack_and_cast_speed_+%_for_4_seconds_on_kill	{0}% increased Attack and Cast Speed if you've Killed Recently	0	enchantment_boots_attack_and_cast_speed_+%_for_4_seconds_on_kill
enchantment_boots_damage_penetrates_elemental_resistance_%_while_you_havent_killed_for_4_seconds	Damage Penetrates {0}% of Enemy Elemental Resistances if you haven't Killed Recently	0	enchantment_boots_damage_penetrates_elemental_resistance_%_while_you_havent_killed_for_4_seconds
enchantment_boots_life_regen_per_minute_%_for_4_seconds_when_hit	Regenerate {0}% of maximum Life per second if you were Hit Recently	0	enchantment_boots_life_regen_per_minute_%_for_4_seconds_when_hit
enchantment_boots_mana_costs_when_hit_+%	{0}% increased Mana Cost of Skills if you've been Hit Recently	0	enchantment_boots_mana_costs_when_hit_+%
enchantment_boots_mana_regeneration_rate_+%_if_cast_spell_recently	{0}% increased Mana Regeneration Rate if you've cast a Spell Recently	0	enchantment_boots_mana_regeneration_rate_+%_if_cast_spell_recently
enchantment_boots_maximum_added_chaos_damage_for_4_seconds_when_crit_4s	Adds {0} to {1} Chaos Damage if you've taken a Critical Hit Recently	1	enchantment_boots_minimum_added_chaos_damage_for_4_seconds_when_crit_4s,enchantment_boots_maximum_added_chaos_damage_for_4_seconds_when_crit_4s
enchantment_boots_maximum_added_fire_damage_on_kill_4s	Adds {0} to {1} Fire Damage if you've Killed Recently	1	enchantment_boots_minimum_added_fire_damage_on_kill_4s,enchantment_boots_maximum_added_fire_damage_on_kill_4s
enchantment_boots_maximum_added_lightning_damage_when_you_havent_killed_for_4_seconds	Adds {0} to {1} Lightning Damage if you haven't Killed Recently	1	enchantment_boots_minimum_added_lightning_damage_when_you_havent_killed_for_4_seconds,enchantment_boots_maximum_added_lightning_damage_when_you_havent_killed_for_4_seconds
enchantment_boots_minimum_added_chaos_damage_for_4_seconds_when_crit_4s	Adds {0} to {1} Chaos Damage if you've taken a Critical Hit Recently	0	enchantment_boots_minimum_added_chaos_damage_for_4_seconds_when_crit_4s,enchantment_boots_maximum_added_chaos_damage_for_4_seconds_when_crit_4s
enchantment_boots_minimum_added_fire_damage_on_kill_4s	Adds {0} to {1} Fire Damage if you've Killed Recently	0	enchantment_boots_minimum_added_fire_damage_on_kill_4s,enchantment_boots_maximum_added_fire_damage_on_kill_4s
enchantment_boots_minimum_added_lightning_damage_when_you_havent_killed_for_4_seconds	Adds {0} to {1} Lightning Damage if you haven't Killed Recently	0	enchantment_boots_minimum_added_lightning_damage_when_you_havent_killed_for_4_seconds,enchantment_boots_maximum_added_lightning_damage_when_you_havent_killed_for_4_seconds
enchantment_boots_movement_speed_+%_when_not_hit_for_4_seconds	{0}% increased Movement Speed if you haven't been Hit Recently	0	enchantment_boots_movement_speed_+%_when_not_hit_for_4_seconds
enchantment_boots_physical_damage_%_added_as_elements_in_spells_that_hit_you_in_past_4_seconds	{0}% of Physical Damage as Extra Damage of each Element you've been Hit by Spell Damage of Recently	0	enchantment_boots_physical_damage_%_added_as_elements_in_spells_that_hit_you_in_past_4_seconds
enchantment_boots_stun_avoid_%_on_kill	{0}% chance to Avoid being Stunned if you've Killed Recently	0	enchantment_boots_stun_avoid_%_on_kill
enchantment_critical_strike_chance_+%_if_you_havent_crit_for_4_seconds	{0}% increased Critical Hit Chance if you haven't Crit Recently	0	enchantment_critical_strike_chance_+%_if_you_havent_crit_for_4_seconds
endurance_charge_duration_+%	{0}% increased Endurance Charge Duration	0	endurance_charge_duration_+%
endurance_charge_on_hit_%_vs_no_armour	{0}% chance to gain an Endurance Charge on Hitting an Enemy with no Armour	0	endurance_charge_on_hit_%_vs_no_armour
endurance_charge_on_kill_%	{0}% chance to gain an Endurance Charge on kill	0	endurance_charge_on_kill_%
endurance_charge_on_kill_percent_chance_while_holding_shield	{0}% chance to gain an Endurance Charge on Kill while holding a Shield	0	endurance_charge_on_kill_percent_chance_while_holding_shield
endurance_charge_on_melee_stun_damage_+%_final_per_endurance_charge	{0}% more Damage per Endurance Charge	0	endurance_charge_on_melee_stun_damage_+%_final_per_endurance_charge
endurance_charge_on_off_hand_kill_%	{0}% chance to gain an Endurance Charge on Kill with Off Hand	0	endurance_charge_on_off_hand_kill_%
endurance_charge_skip_consume_chance_%	Skills have {0}% chance to not remove Endurance Charges but still count as consuming them	0	base_endurance_charge_skip_consume_chance_%
endurance_only_conduit	If you would gain an Endurance Charge, Allies in your Presence gain that Charge instead	0	endurance_only_conduit
enduring_cry_buff_effect_+%	{0}% increased Enduring Cry Buff Effect	0	enduring_cry_buff_effect_+%
enduring_cry_cooldown_speed_+%	Enduring Cry has {0}% increased Cooldown Recovery Rate	0	enduring_cry_cooldown_speed_+%
enduring_cry_grants_x_additional_endurance_charges	Enduring Cry grants {0} additional Endurance Charge	0	enduring_cry_grants_x_additional_endurance_charges
enemies_affected_by_your_hazards_recently_have_+%_armour	Enemies affected by your Hazards Recently have {0}% increased Armour	0	enemies_affected_by_your_hazards_recently_have_+%_armour
enemies_affected_by_your_hazards_recently_have_+%_evasion_rating	Enemies affected by your Hazards Recently have {0}% increased Evasion Rating	0	enemies_affected_by_your_hazards_recently_have_+%_evasion_rating
enemies_are_maimed_for_x_seconds_after_becoming_unpinned	Enemies are Maimed for {0} second after becoming Unpinned	0	enemies_are_maimed_for_x_seconds_after_becoming_unpinned
enemies_blinded_by_you_while_blinded_have_malediction	Enemies Blinded by you while you are Blinded have Malediction	0	enemies_blinded_by_you_while_blinded_have_malediction
enemies_chaos_resistance_%_while_cursed	Enemies you Curse have {0:+d}% to Chaos Resistance	0	enemies_chaos_resistance_%_while_cursed
enemies_chill_as_unfrozen	Enemies Become Chilled as they Unfreeze, causing 30% reduced Action Speed	0	enemies_chill_as_unfrozen
enemies_chilled_by_bane_and_contagion	Enemies inflicted with Bane or Contagion are Chilled	0	enemies_chilled_by_bane_and_contagion
enemies_chilled_by_hits_take_damage_increased_by_chill_effect	Enemies Chilled by your Hits increase damage taken by Chill Magnitude	0	enemies_chilled_by_hits_take_damage_increased_by_chill_effect
enemies_cursed_by_you_have_life_regeneration_rate_+%	Targets Cursed by you have {}% increased Life Regeneration Rate	0	enemies_cursed_by_you_have_life_regeneration_rate_+%
enemies_damage_taken_+%_while_cursed	Enemies you Curse take {0}% increased Damage	0	enemies_damage_taken_+%_while_cursed
enemies_explode_for_%_life_as_physical_damage	Enemies you Kill Explode, dealing {0}% of their Life as Physical Damage	0	enemies_explode_for_%_life_as_physical_damage
enemies_explode_on_death_by_attack_for_10%_life_as_physical_damage	Enemies Killed with Attack Hits have a {0}% chance to Explode, dealing a tenth of their Life as Physical Damage	0	enemies_explode_on_death_by_attack_for_10%_life_as_physical_damage
enemies_explode_on_kill	Enemies killed by your Hits are destroyed	0	enemies_explode_on_kill
enemies_explode_on_kill_while_unhinged	Enemies Killed by your Hits are destroyed while Insane	0	enemies_explode_on_kill_while_unhinged
enemies_extra_damage_rolls_with_lightning_damage	Lightning Damage of Enemies Hitting you is Lucky	0	enemies_extra_damage_rolls_with_lightning_damage
enemies_extra_damage_rolls_with_lightning_damage_while_you_are_shocked	Lightning Damage of Enemies Hitting you while you're Shocked is Lucky	0	enemies_extra_damage_rolls_with_lightning_damage_while_you_are_shocked
enemies_hitting_you_drop_burning_ground_%	{0}% chance for Enemies to drop Burning Ground when Hitting you, no more than once every 2 seconds	0	enemies_hitting_you_drop_burning_ground_%
enemies_hitting_you_drop_chilled_ground_%	{0}% chance for Enemies to drop Chilled Ground when Hitting you, no more than once every 2 seconds	0	enemies_hitting_you_drop_chilled_ground_%
enemies_hitting_you_drop_shocked_ground_%	{0}% chance for Enemies to drop Shocked Ground when Hitting you, no more than once every 2 seconds	0	enemies_hitting_you_drop_shocked_ground_%
enemies_ignited_by_you_have_physical_damage_%_converted_to_fire	Enemies Ignited by you have {0}% of Physical Damage they deal converted to Fire	0	enemies_ignited_by_you_have_physical_damage_%_converted_to_fire
enemies_in_presence_are_blinded	Enemies in your Presence are Blinded	0	enemies_in_presence_are_blinded
enemies_in_presence_are_intimidated	Enemies in your Presence are Intimidated	0	enemies_in_presence_are_intimidated
enemies_in_presence_cooldown_recovery_+%	Enemies in your Presence have {0}% increased Cooldown Recovery Rate	0	enemies_in_presence_cooldown_recovery_+%
enemies_in_presence_count_as_low_life	Enemies in your Presence count as being on Low Life	0	enemies_in_presence_count_as_low_life
enemies_in_presence_elemental_damage_resisted_by_lowest_elemental_resistance	Enemies in your Presence Resist Elemental Damage based on their Lowest Resistance	0	enemies_in_presence_elemental_damage_resisted_by_lowest_elemental_resistance
enemies_in_presence_gain_critical_weakness_every_second_for_seconds	Every second, inflicts Critical Weakness on enemies in your Presence for {0} second	0	enemies_in_presence_gain_critical_weakness_every_second_for_seconds
enemies_in_presence_have_exposure	Enemies in your Presence have Exposure	0	enemies_in_presence_have_exposure
enemies_in_presence_have_fire_resistance_%	Enemies in your Presence have {0:+d}% to Fire Resistance	0	enemies_in_presence_have_fire_resistance_%
enemies_in_presence_have_life_reserved_%	Enemies in your Presence have at least {0}% of Life Reserved	0	enemies_in_presence_have_life_reserved_%
enemies_in_presence_have_no_elemental_resistances	Enemies in your Presence have no Elemental Resistances	0	enemies_in_presence_have_no_elemental_resistances
enemies_in_presence_life_regeneration_+%	Enemies in your Presence have {0}% increased Life Regeneration rate	0	enemies_in_presence_life_regeneration_+%
enemies_in_presence_lightning_resist_equal_to_yours	Enemies in your Presence have Lightning Resistance equal to yours	0	enemies_in_presence_lightning_resist_equal_to_yours
enemies_in_presence_non_skill_base_all_damage_%_to_gain_as_chaos	Enemies in your Presence Gain {0}% of Damage as Extra Chaos Damage	0	enemies_in_presence_non_skill_base_all_damage_%_to_gain_as_chaos
enemies_in_your_presence_are_hindered	Enemies in your Presence are Hindered	0	base_enemies_in_your_presence_are_hindered
enemies_intimidated_x_seconds_when_pinned_heavy_stunned_frozen_or_electrocuted	Enemies are Intimidated for {0} seconds when you Immobilise them	0	enemies_intimidated_x_seconds_when_pinned_heavy_stunned_frozen_or_electrocuted
enemies_killed_on_fungal_ground_explode_for_5%_chaos_damage_%_chance	Enemies on Fungal Ground you Kill have {0}% chance to Explode, dealing 5% of their Life as Chaos Damage	0	enemies_killed_on_fungal_ground_explode_for_5%_chaos_damage_%_chance
enemies_near_corpses_created_recently_are_shocked_and_chilled	Enemies near corpses you Spawned Recently are Chilled and Shocked	0	enemies_near_corpses_created_recently_are_shocked_and_chilled
enemies_near_cursed_corpses_are_blinded_and_explode_on_death_for_%_life_as_physical_damage	Enemies near corpses affected by your Curses are Blinded\nEnemies Killed near corpses affected by your Curses explode, dealing\n{0}% of their Life as Physical Damage	0	enemies_near_cursed_corpses_are_blinded_and_explode_on_death_for_%_life_as_physical_damage
enemies_near_link_skill_target_have_exposure	Enemies near your Linked targets have Fire, Cold and Lightning Exposure	0	enemies_near_link_skill_target_have_exposure
enemies_near_marked_enemy_are_blinded	Enemies near Enemies you Mark are Blinded	0	enemies_near_marked_enemy_are_blinded
enemies_shocked_by_you_have_physical_damage_%_converted_to_lightning	Enemies Shocked by you have {0}% of Physical Damage they deal converted to Lightning	0	enemies_shocked_by_you_have_physical_damage_%_converted_to_lightning
enemies_taunted_by_warcry_explode_on_death_%_chance_dealing_8%_life_as_chaos_damage	Enemies Taunted by your Warcries have {0}% chance to Explode on death, dealing 8% of their maximum Life as Chaos Damage	0	enemies_taunted_by_warcry_explode_on_death_%_chance_dealing_8%_life_as_chaos_damage
enemies_taunted_by_you_cannot_evade_attacks	Enemies Taunted by you cannot Evade Attacks	0	enemies_taunted_by_you_cannot_evade_attacks
enemies_taunted_by_your_warcies_are_intimidated	Enemies Taunted by your Warcries are Intimidated	0	enemies_taunted_by_your_warcies_are_intimidated
enemies_taunted_by_your_warcries_are_unnerved	Enemies Taunted by your Warcries are Unnerved	0	enemies_taunted_by_your_warcries_are_unnerved
enemies_that_hit_you_inflict_temporal_chains	Enemy Hits inflict Temporal Chains on you	0	enemies_that_hit_you_inflict_temporal_chains
enemies_that_hit_you_with_attack_recently_attack_speed_+%	Enemies that have Hit you with an Attack Recently have {0}% increased Attack Speed	0	enemies_that_hit_you_with_attack_recently_attack_speed_+%
enemies_withered_by_you_take_+%_increased_elemental_damage_from_your_hits	Enemies take {0}% increased Elemental Damage from your Hits for\neach Withered you have inflicted on them	0	enemies_withered_by_you_take_+%_increased_elemental_damage_from_your_hits
enemies_you_bleed_grant_flask_charges_+%	Enemies you inflict Bleeding on grant {0}% increased Flask Charges	0	enemies_you_bleed_grant_flask_charges_+%
enemies_you_blind_have_critical_strike_chance_+%	Enemies Blinded by you have {0}% increased Critical Hit Chance	0	enemies_you_blind_have_critical_strike_chance_+%
enemies_you_curse_are_intimidated	Enemies you Curse are Intimidated	0	enemies_you_curse_are_intimidated
enemies_you_curse_are_unnerved	Enemies you Curse are Unnerved	0	enemies_you_curse_are_unnerved
enemies_you_curse_cannot_recharge_energy_shield	Enemies you Curse cannot Recharge Energy Shield	0	enemies_you_curse_cannot_recharge_energy_shield
enemies_you_curse_have_15%_hinder	Enemies you Curse are Hindered, with 15% reduced Movement Speed	0	enemies_you_curse_have_15%_hinder
enemies_you_curse_have_malediction	Enemies you Curse have Malediction	0	enemies_you_curse_have_malediction
enemies_you_expose_have_self_elemental_status_duration_+%	Elemental Ailments inflicted on Enemies Exposed by you have {0}% increased Duration	0	enemies_you_expose_have_self_elemental_status_duration_+%
enemies_you_heavy_stun_while_shapeshifted_are_intimidated_for_x_seconds	Enemies you Heavy Stun while Shapeshifted are Intimidated for {0} seconds	0	enemies_you_heavy_stun_while_shapeshifted_are_intimidated_for_x_seconds
enemies_you_hinder_have_life_regeneration_rate_+%	Enemies Hindered by you have {0}% increased Life Regeneration rate	0	enemies_you_hinder_have_life_regeneration_rate_+%
enemies_you_ignite_take_chaos_damage_from_ignite_instead	Enemies Ignited by you take Chaos Damage instead of Fire Damage from Ignite	0	enemies_you_ignite_take_chaos_damage_from_ignite_instead
enemies_you_ignite_wither_does_not_expire	Withered does not expire on Enemies Ignited by you	0	enemies_you_ignite_wither_does_not_expire
enemies_you_intimidate_have_stun_duration_on_self_+%	Enemies Intimidated by you have {0}% increased duration of stuns against them	0	enemies_you_intimidate_have_stun_duration_on_self_+%
enemies_you_maim_have_damage_taken_over_time_+%	Enemies Maimed by you take {0}% increased Damage Over Time	0	enemies_you_maim_have_damage_taken_over_time_+%
enemies_you_shock_cast_speed_+%	Enemies you Shock have {0}% increased Cast Speed	0	enemies_you_shock_cast_speed_+%
enemies_you_shock_movement_speed_+%	Enemies Shocked by supported Skills have {0}% increased Movement Speed	0	enemies_you_shock_movement_speed_+%
enemies_you_shock_take_%_increased_physical_damage	Enemies Shocked by Supported Skills take {0}% increased Physical Damage	0	enemies_you_shock_take_%_increased_physical_damage
enemies_you_unnerve_have_enemy_spell_critical_strike_chance_+%_against_self	Hits against Enemies Unnerved by you have {0}% increased Spell Critical Hit Chance	0	enemies_you_unnerve_have_enemy_spell_critical_strike_chance_+%_against_self
enemies_you_wither_have_all_resistances_%	Enemies Withered by you have {0:+d}% to all Resistances	0	enemies_you_wither_have_all_resistances_%
enemy_additional_critical_strike_chance_permyriad_against_self	Hits have {0:+d}% additional Critical Hit Chance against you	0	enemy_additional_critical_strike_chance_permyriad_against_self
enemy_aggro_radius_+%	{0}% increased Visibility to Enemies	0	enemy_aggro_radius_+%
enemy_critical_strike_chance_+%_against_self	Hits have {0}% increased Critical Hit Chance against you	0	base_enemy_critical_strike_chance_+%_against_self
enemy_critical_strike_chance_+%_against_self_20_times_value	Hits have {0}% increased Critical Hit Chance against you	0	enemy_critical_strike_chance_+%_against_self_20_times_value
enemy_evasion_+%_if_you_have_hit_them_recently	Enemies have {0}% increased Evasion if you have Hit them Recently	0	enemy_evasion_+%_if_you_have_hit_them_recently
enemy_extra_damage_rolls_chance_%	{0}% chance for Damage of Enemies Hitting you to be Unlucky	0	enemy_extra_damage_rolls_chance_%
enemy_extra_damage_rolls_if_magic_ring_equipped	Damage of Enemies Hitting you is Lucky while you have a Magic Ring Equipped	0	enemy_extra_damage_rolls_if_magic_ring_equipped
enemy_extra_damage_rolls_when_on_full_life	Damage of Enemies Hitting you is Lucky while you are on Full Life	0	enemy_extra_damage_rolls_when_on_full_life
enemy_extra_damage_rolls_when_on_low_life	Damage of Enemies Hitting you is Lucky while you are on Low Life	0	enemy_extra_damage_rolls_when_on_low_life
enemy_extra_damage_rolls_while_affected_by_vulnerability	Damage of Enemies Hitting you is Lucky while you are Cursed with Vulnerability	0	enemy_extra_damage_rolls_while_affected_by_vulnerability
enemy_hits_against_you_have_distance_based_accuracy_falloff	Enemies have an Accuracy Penalty against you based on Distance	0	enemy_hits_against_you_have_distance_based_accuracy_falloff
enemy_hits_roll_low_damage	Enemy hits on you roll low Damage	0	enemy_hits_roll_low_damage
enemy_knockback_direction_is_reversed	Knockback direction is reversed	0	enemy_knockback_direction_is_reversed
enemy_life_regeneration_rate_+%_for_4_seconds_on_hit	Enemies you've Hit Recently have {0}% increased Life Regeneration rate	0	enemy_life_regeneration_rate_+%_for_4_seconds_on_hit
enemy_non_skill_physical_damage_%_as_extra_fire_vs_you	Hits against you gain {0}% of Physical Damage as Extra Fire Damage	0	enemy_non_skill_physical_damage_%_as_extra_fire_vs_you
enemy_on_low_life_damage_taken_+%_per_frenzy_charge	Enemies on Low Life take {0}% increased Damage per Frenzy Charge	0	enemy_on_low_life_damage_taken_+%_per_frenzy_charge
enemy_phys_reduction_%_penalty_vs_hit	Overwhelm {0}% Physical Damage Reduction	0	enemy_phys_reduction_%_penalty_vs_hit
enemy_shock_on_kill	Enemies you kill are Shocked	0	enemy_shock_on_kill
enemy_spell_critical_strike_chance_+%_against_self	Spell Hits against you have {0}% increased Critical Hit Chance	0	enemy_spell_critical_strike_chance_+%_against_self
energy_generated_+%	Supported Skills gain {0}% increased Energy	0	energy_generated_+%
energy_generated_+%_if_crit_recently	Meta Skills gain {0}% increased Energy if you've dealt a Critical Hit Recently	0	energy_generated_+%_if_crit_recently
energy_generated_+%_on_full_mana	Meta Skills gain {0}% increased Energy while on Full Mana	0	energy_generated_+%_on_full_mana
energy_generation_is_doubled	Energy Generation is doubled	0	energy_generation_is_doubled
energy_shield_%_gained_on_block	Recover {0}% of maximum Energy Shield when you Block	0	energy_shield_%_gained_on_block
energy_shield_%_of_armour_rating_gained_on_block	Recover Energy Shield equal to {0}% of Armour when you Block	0	energy_shield_%_of_armour_rating_gained_on_block
energy_shield_%_to_lose_on_block	Lose {0}% of your maximum Energy Shield when you Block	0	energy_shield_%_to_lose_on_block
energy_shield_+%_if_both_rings_have_evasion_mod	{0}% increased Maximum Energy Shield if both Equipped Rings have Evasion Modifiers	0	energy_shield_+%_if_both_rings_have_evasion_mod
energy_shield_+%_if_consumed_power_charge_recently	{0}% increased maximum Energy Shield if you've consumed a Power Charge Recently	0	energy_shield_+%_if_consumed_power_charge_recently
energy_shield_+%_per_10_strength	{0}% increased Energy Shield per 10 Strength	0	energy_shield_+%_per_10_strength
energy_shield_+%_per_power_charge	{0}% increased Energy Shield per Power Charge	0	energy_shield_+%_per_power_charge
energy_shield_+_per_8_evasion_on_boots	{0:+d} to Energy Shield per 8 Item Evasion Rating on Equipped Boots	0	energy_shield_+_per_8_evasion_on_boots
energy_shield_+_per_8_helmet_armour	{0:+d} to Maximum Energy Shield per 8 Item Armour on Equipped Helmet	0	energy_shield_+_per_8_helmet_armour
energy_shield_additive_modifiers_instead_apply_to_ward	Increases and Reductions to Maximum Energy Shield instead apply to Ward	0	energy_shield_additive_modifiers_instead_apply_to_ward
energy_shield_degeneration_%_per_minute_not_in_grace	Lose {0}% of maximum Energy Shield per second	0	energy_shield_degeneration_%_per_minute_not_in_grace
energy_shield_delay_-%	{0}% faster start of Energy Shield Recharge	0	energy_shield_delay_-%
energy_shield_delay_-%_if_stunned_recently	{0}% faster start of Energy Shield Recharge if you've been Stunned Recently	0	energy_shield_delay_-%_if_stunned_recently
energy_shield_delay_-%_when_not_on_full_life	{0}% faster start of Energy Shield Recharge when not on Full Life	0	energy_shield_delay_-%_when_not_on_full_life
energy_shield_delay_-%_while_affected_by_archon	{0}% faster start of Energy Shield Recharge while affected by an Archon Buff	0	energy_shield_delay_-%_while_affected_by_archon
