# unique_item_name_map.tsv – generated by build_item_names.py
# generated: 2026-03-31T16:43:16Z
# columns: metadata_path	unique_name
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear2Cruel	Tyranny's Grip
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear3Cruel	Chainsting
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear5Cruel	Daevata's Wind
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear6Cruel	Tangletongue
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear7Cruel	Saitha's Spear
Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman8Cruel	The Flesh Poppet
Metadata/Items/Armours/BodyArmours/FourBodyStr2Cruel	Blackbraid
Metadata/Items/Armours/BodyArmours/FourBodyStr3Cruel	Edyrn's Tusks
Metadata/Items/Armours/BodyArmours/FourBodyStr5Cruel	Titanrot Cataphract
Metadata/Items/Armours/BodyArmours/FourBodyStr6Cruel	Wandering Reliquary
Metadata/Items/Armours/BodyArmours/FourBodyStr7Cruel	Kingsguard
Metadata/Items/Armours/BodyArmours/FourBodyStr8Cruel	Greed's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyDex2Cruel	Foxshade
Metadata/Items/Armours/BodyArmours/FourBodyDex3Cruel	Ashrend
Metadata/Items/Armours/BodyArmours/FourBodyDex5Cruel	Briskwrap
Metadata/Items/Armours/BodyArmours/FourBodyDex6Cruel	Dustbloom
Metadata/Items/Armours/BodyArmours/FourBodyDex7Cruel	The Rat Cage
Metadata/Items/Armours/BodyArmours/FourBodyDex8Cruel	Quatl's Molt
Metadata/Items/Armours/BodyArmours/FourBodyInt2Cruel	Bitterbloom
Metadata/Items/Armours/BodyArmours/FourBodyInt3Cruel	The Black Doubt
Metadata/Items/Armours/BodyArmours/FourBodyInt5Cruel	Cloak of Flame
Metadata/Items/Armours/BodyArmours/FourBodyInt6Cruel	Prayers for Rain
Metadata/Items/Armours/BodyArmours/FourBodyInt7Cruel	Tetzlapokal's Desire
Metadata/Items/Armours/BodyArmours/FourBodyInt8Cruel	The Covenant
Metadata/Items/Armours/BodyArmours/FourBodyStrDex1Cruel	Coat of Red
Metadata/Items/Armours/BodyArmours/FourBodyStrDex2Cruel	The Barrow Dweller
Metadata/Items/Armours/BodyArmours/FourBodyStrDex3Cruel	Irongrasp
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4Cruel	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex5Cruel	Belly of the Beast
Metadata/Items/Armours/BodyArmours/FourBodyStrDex6Cruel	Doryani's Prototype
Metadata/Items/Armours/BodyArmours/FourBodyStrInt1Cruel	Enfolding Dawn
Metadata/Items/Armours/BodyArmours/FourBodyStrInt3Cruel	Icetomb
Metadata/Items/Armours/BodyArmours/FourBodyStrInt4Cruel	Husk of Dreams
Metadata/Items/Armours/BodyArmours/FourBodyStrInt5Cruel	Voll's Protector
Metadata/Items/Armours/BodyArmours/FourBodyStrInt6Cruel	Soul Mantle
Metadata/Items/Armours/BodyArmours/FourBodyDexInt1Cruel	Apron of Emiran
Metadata/Items/Armours/BodyArmours/FourBodyDexInt2Cruel	Gloomform
Metadata/Items/Armours/BodyArmours/FourBodyDexInt3Cruel	Sierran Inheritance
Metadata/Items/Armours/BodyArmours/FourBodyDexInt4Cruel	The Dancing Mirage
Metadata/Items/Armours/BodyArmours/FourBodyDexInt5Cruel	Redflare Conduit
Metadata/Items/Armours/BodyArmours/FourBodyDexInt6Cruel	Zerphi's Serape
Metadata/Items/Armours/Helmets/FourHelmetStr2Cruel	Ezomyte Peak
Metadata/Items/Armours/Helmets/FourHelmetStr3Cruel	Black Sun Crest
Metadata/Items/Armours/Helmets/FourHelmetStr4Cruel	Thrillsteel
Metadata/Items/Armours/Helmets/FourHelmetStr5Cruel	Deidbell
Metadata/Items/Armours/Helmets/FourHelmetDex1Cruel	Innsmouth
Metadata/Items/Armours/Helmets/FourHelmetDex2Cruel	Goldrim
Metadata/Items/Armours/Helmets/FourHelmetDex3Cruel	Radiant Grief
Metadata/Items/Armours/Helmets/FourHelmetDex5Cruel	Elevore
Metadata/Items/Armours/Helmets/FourHelmetInt1Cruel	Crown of Thorns
Metadata/Items/Armours/Helmets/FourHelmetInt2Cruel	The Devouring Diadem
Metadata/Items/Armours/Helmets/FourHelmetInt3Cruel	Visage of Ayah
Metadata/Items/Armours/Helmets/FourHelmetInt4Cruel	Forbidden Gaze
Metadata/Items/Armours/Helmets/FourHelmetInt5Cruel	Mask of the Stitched Demon
Metadata/Items/Armours/Helmets/FourHelmetStrDex1Cruel	Greymake
Metadata/Items/Armours/Helmets/FourHelmetStrDex2Cruel	Erian's Cobble
Metadata/Items/Armours/Helmets/FourHelmetStrDex3Cruel	Ironride
Metadata/Items/Armours/Helmets/FourHelmetStrDex4Cruel	The Smiling Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex5Cruel	The Vile Knight
Metadata/Items/Armours/Helmets/FourHelmetStrInt1Cruel	Crown of the Victor
Metadata/Items/Armours/Helmets/FourHelmetStrInt2Cruel	Bronzebeard
Metadata/Items/Armours/Helmets/FourHelmetStrInt3Cruel	Crown of the Pale King
Metadata/Items/Armours/Helmets/FourHelmetStrInt4Cruel	Veil of the Night
Metadata/Items/Armours/Helmets/FourHelmetStrInt5Cruel	Cornathaum
Metadata/Items/Armours/Helmets/FourHelmetDexInt1Cruel	The Hollow Mask
Metadata/Items/Armours/Helmets/FourHelmetDexInt2Cruel	Mask of the Sanguimancer
Metadata/Items/Armours/Helmets/FourHelmetDexInt3Cruel	Leer Cast
Metadata/Items/Armours/Helmets/FourHelmetDexInt4Cruel	Atsak's Sight
Metadata/Items/Armours/Helmets/FourHelmetDexInt5Cruel	The Vertex
Metadata/Items/Armours/Gloves/FourGlovesStr2Cruel	Treefingers
Metadata/Items/Armours/Gloves/FourGlovesStr3Cruel	Lochtonial Caress
Metadata/Items/Armours/Gloves/FourGlovesStr4Cruel	Dreadfist
Metadata/Items/Armours/Gloves/FourGlovesStr5Cruel	Atziri's Acuity
Metadata/Items/Armours/Gloves/FourGlovesDex2Cruel	Grip of Winter
Metadata/Items/Armours/Gloves/FourGlovesDex4Cruel	Idle Hands
Metadata/Items/Armours/Gloves/FourGlovesDex5Cruel	Snakebite
Metadata/Items/Armours/Gloves/FourGlovesInt2Cruel	Candlemaker
Metadata/Items/Armours/Gloves/FourGlovesInt3Cruel	Doedre's Tenure
Metadata/Items/Armours/Gloves/FourGlovesInt4Cruel	Kitoko's Current
Metadata/Items/Armours/Gloves/FourGlovesInt5Cruel	Demon Stitcher
Metadata/Items/Armours/Gloves/FourGlovesStrDex1Cruel	Jarngreipr
Metadata/Items/Armours/Gloves/FourGlovesStrDex2Cruel	Aurseize
Metadata/Items/Armours/Gloves/FourGlovesStrDex3Cruel	Deathblow
Metadata/Items/Armours/Gloves/FourGlovesStrInt1Cruel	Gravebind
Metadata/Items/Armours/Gloves/FourGlovesStrInt2Cruel	Shackles of the Wretched
Metadata/Items/Armours/Gloves/FourGlovesStrInt3Cruel	Blueflame Bracers
Metadata/Items/Armours/Gloves/FourGlovesDexInt1Cruel	Plaguefinger
Metadata/Items/Armours/Gloves/FourGlovesDexInt2Cruel	Killjoy
Metadata/Items/Armours/Boots/FourBootsStr2Cruel	Corpsewade
Metadata/Items/Armours/Boots/FourBootsStr3Cruel	The Infinite Pursuit
Metadata/Items/Armours/Boots/FourBootsStr4Cruel	Trampletoe
Metadata/Items/Armours/Boots/FourBootsStr5Cruel	Birth of Fury
Metadata/Items/Armours/Boots/FourBootsDex2Cruel	Briarpatch
Metadata/Items/Armours/Boots/FourBootsDex3Cruel	Gamblesprint
Metadata/Items/Armours/Boots/FourBootsDex4Cruel	Thunderstep
Metadata/Items/Armours/Boots/FourBootsDex5Cruel	Bushwhack
Metadata/Items/Armours/Boots/FourBootsInt2Cruel	Wanderlust
Metadata/Items/Armours/Boots/FourBootsInt3Cruel	Bones of Ullr
Metadata/Items/Armours/Boots/FourBootsInt4Cruel	Wondertrap
Metadata/Items/Armours/Boots/FourBootsInt5Cruel	Windscream
Metadata/Items/Armours/Boots/FourBootsStrDex1Cruel	The Knight-errant
Metadata/Items/Armours/Boots/FourBootsStrDex2Cruel	Darkray Vectors
Metadata/Items/Armours/Boots/FourBootsStrDex3Cruel	Obern's Bastion
Metadata/Items/Armours/Boots/FourBootsStrInt2Cruel	Wake of Destruction
Metadata/Items/Armours/Boots/FourBootsDexInt2Cruel	Ghostmarch
Metadata/Items/Armours/Boots/FourBootsDexInt3Cruel	Powertread
Metadata/Items/Armours/Shields/FourShieldStr2Cruel	Wulfsbane
Metadata/Items/Armours/Shields/FourShieldStr3Cruel	Doomgate
Metadata/Items/Armours/Shields/FourShieldStr5Cruel	The Wailing Wall
Metadata/Items/Armours/Shields/FourShieldStr6Cruel	Lycosidae
Metadata/Items/Armours/Shields/FourShieldStr7Cruel	Redblade Banner
Metadata/Items/Armours/Shields/FourShieldStr8Cruel	The Surrender
Metadata/Items/Armours/Shields/FourShieldStrDex1Cruel	Arvil's Wheel
Metadata/Items/Armours/Shields/FourShieldStrDex2Cruel	Merit of Service
Metadata/Items/Armours/Shields/FourShieldStrDex4Cruel	Feathered Fortress
Metadata/Items/Armours/Shields/FourShieldStrInt1Cruel	Alkem Eira
Metadata/Items/Armours/Shields/FourShieldStrInt2Cruel	Oaksworn
Metadata/Items/Armours/Shields/FourShieldStrInt3Cruel	Saffell's Frame
Metadata/Items/Armours/Shields/FourShieldStrInt4Cruel	Crest of Ardura
Metadata/Items/Armours/Shields/FourShieldStrInt5Cruel	Prism Guardian
Metadata/Items/Armours/Shields/FourShieldStrInt6Cruel	Rise of the Phoenix
Metadata/Items/Armours/Shields/FourShieldDex2Cruel	Nocturne
Metadata/Items/Armours/Shields/FourShieldDex3Cruel	Rondel de Ezo
Metadata/Items/Armours/Shields/FourShieldDex5Cruel	Kaltenhalt
Metadata/Items/Armours/Shields/FourShieldDex6Cruel	Silverthorne
Metadata/Items/Armours/Focii/FourFocus2Cruel	Threaded Light
Metadata/Items/Armours/Focii/FourFocus3Cruel	Effigy of Cruelty
Metadata/Items/Armours/Focii/FourFocus5Cruel	Serpent's Lesson
Metadata/Items/Armours/Focii/FourFocus6Cruel	The Eternal Spark
Metadata/Items/Armours/Focii/FourFocus7Cruel	Apep's Supremacy
Metadata/Items/Armours/Focii/FourFocus8Cruel	Rathpith Globe
Metadata/Items/Armours/BodyArmours/FourBodyStr3Endgame	Edyrn's Tusks
Metadata/Items/Armours/BodyArmours/FourBodyStr6Endgame	Wandering Reliquary
Metadata/Items/Armours/BodyArmours/FourBodyStr8Endgame	Greed's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyDex3Endgame	Ashrend
Metadata/Items/Armours/BodyArmours/FourBodyDex6Endgame	Dustbloom
Metadata/Items/Armours/BodyArmours/FourBodyDex8Endgame	Quatl's Molt
Metadata/Items/Armours/BodyArmours/FourBodyDex10Endgame	Queen of the Forest
Metadata/Items/Armours/BodyArmours/FourBodyInt3Endgame	The Black Doubt
Metadata/Items/Armours/BodyArmours/FourBodyInt6Endgame	Prayers for Rain
Metadata/Items/Armours/BodyArmours/FourBodyInt8Endgame	The Covenant
Metadata/Items/Armours/BodyArmours/FourBodyStrDex2Endgame	The Barrow Dweller
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4aEndgame	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4bEndgame	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex4cEndgame	Pariah's Embrace
Metadata/Items/Armours/BodyArmours/FourBodyStrDex6Endgame	Doryani's Prototype
Metadata/Items/Armours/BodyArmours/FourBodyStrDex8Endgame	Lightning Coil
Metadata/Items/Armours/BodyArmours/FourBodyStrInt4Endgame	Husk of Dreams
Metadata/Items/Armours/BodyArmours/FourBodyStrInt6Endgame	Soul Mantle
Metadata/Items/Armours/BodyArmours/FourBodyStrInt8Endgame	Waveshaper
Metadata/Items/Armours/BodyArmours/FourBodyDexInt2Endgame	Gloomform
Metadata/Items/Armours/BodyArmours/FourBodyDexInt4Endgame	The Dancing Mirage
Metadata/Items/Armours/BodyArmours/FourBodyDexInt6Endgame	Zerphi's Serape
Metadata/Items/Armours/Helmets/FourHelmetStr2Endgame	Ezomyte Peak
Metadata/Items/Armours/Helmets/FourHelmetStr4Endgame	Thrillsteel
Metadata/Items/Armours/Helmets/FourHelmetStr5Endgame	Deidbell
Metadata/Items/Armours/Helmets/FourHelmetDex2Endgame	Goldrim
Metadata/Items/Armours/Helmets/FourHelmetDex5Endgame	Elevore
Metadata/Items/Armours/Helmets/FourHelmetDex7Endgame	The Black Insignia
Metadata/Items/Armours/Helmets/FourHelmetInt2Endgame	The Devouring Diadem
Metadata/Items/Armours/Helmets/FourHelmetInt4Endgame	Forbidden Gaze
Metadata/Items/Armours/Helmets/FourHelmetInt5Endgame	Mask of the Stitched Demon
Metadata/Items/Armours/Helmets/FourHelmetInt8Endgame	Scold's Bridle
Metadata/Items/Armours/Helmets/FourHelmetStrDex2Endgame	Erian's Cobble
Metadata/Items/Armours/Helmets/FourHelmetStrDex4Endgame	The Smiling Knight
Metadata/Items/Armours/Helmets/FourHelmetStrDex5Endgame	The Vile Knight
Metadata/Items/Armours/Helmets/FourHelmetStrInt2Endgame	Bronzebeard
Metadata/Items/Armours/Helmets/FourHelmetStrInt4Endgame	Veil of the Night
Metadata/Items/Armours/Helmets/FourHelmetStrInt5Endgame	Cornathaum
Metadata/Items/Armours/Helmets/FourHelmetStrInt6Endgame	The Deepest Tower
Metadata/Items/Armours/Helmets/FourHelmetDexInt2Endgame	Mask of the Sanguimancer
Metadata/Items/Armours/Helmets/FourHelmetDexInt4Endgame	Atsak's Sight
Metadata/Items/Armours/Helmets/FourHelmetDexInt5Endgame	The Vertex
Metadata/Items/Armours/Helmets/FourHelmetDexInt6Endgame	The Three Dragons
Metadata/Items/Armours/Gloves/FourGlovesStr2Endgame	Treefingers
Metadata/Items/Armours/Gloves/FourGlovesStr4Endgame	Dreadfist
Metadata/Items/Armours/Gloves/FourGlovesStr5Endgame	Atziri's Acuity
Metadata/Items/Armours/Gloves/FourGlovesDex2Endgame	Grip of Winter
Metadata/Items/Armours/Gloves/FourGlovesDex4Endgame	Idle Hands
Metadata/Items/Armours/Gloves/FourGlovesDex5Endgame	Snakebite
Metadata/Items/Armours/Gloves/FourGlovesDex6Endgame	Maligaro's Virtuosity
Metadata/Items/Armours/Gloves/FourGlovesInt2Endgame	Candlemaker
Metadata/Items/Armours/Gloves/FourGlovesInt4Endgame	Kitoko's Current
Metadata/Items/Armours/Gloves/FourGlovesInt5Endgame	Demon Stitcher
Metadata/Items/Armours/Gloves/FourGlovesInt6Endgame	Nightscale
Metadata/Items/Armours/Gloves/FourGlovesStrDex1Endgame	Jarngreipr
Metadata/Items/Armours/Gloves/FourGlovesStrDex2Endgame	Aurseize
Metadata/Items/Armours/Gloves/FourGlovesStrDex3Endgame	Deathblow
Metadata/Items/Armours/Gloves/FourGlovesStrDex4Endgame	Valako's Vice
Metadata/Items/Armours/Gloves/FourGlovesStrInt1Endgame	Gravebind
Metadata/Items/Armours/Gloves/FourGlovesStrInt2Endgame	Shackles of the Wretched
Metadata/Items/Armours/Gloves/FourGlovesStrInt3Endgame	Blueflame Bracers
Metadata/Items/Armours/Gloves/FourGlovesStrInt4Endgame	The Prisoner's Manacles
Metadata/Items/Armours/Gloves/FourGlovesDexInt1Endgame	Plaguefinger
Metadata/Items/Armours/Gloves/FourGlovesDexInt2Endgame	Killjoy
Metadata/Items/Armours/Boots/FourBootsStr2Endgame	Corpsewade
Metadata/Items/Armours/Boots/FourBootsStr4Endgame	Trampletoe
Metadata/Items/Armours/Boots/FourBootsStr5Endgame	Birth of Fury
Metadata/Items/Armours/Boots/FourBootsDex2Endgame	Briarpatch
Metadata/Items/Armours/Boots/FourBootsDex4Endgame	Thunderstep
Metadata/Items/Armours/Boots/FourBootsDex5Endgame	Bushwhack
Metadata/Items/Armours/Boots/FourBootsInt2Endgame	Wanderlust
Metadata/Items/Armours/Boots/FourBootsInt4Endgame	Wondertrap
Metadata/Items/Armours/Boots/FourBootsInt5Endgame	Windscream
Metadata/Items/Armours/Boots/FourBootsStrDex1Endgame	The Knight-errant
Metadata/Items/Armours/Boots/FourBootsStrDex2Endgame	Darkray Vectors
Metadata/Items/Armours/Boots/FourBootsStrDex3Endgame	Obern's Bastion
Metadata/Items/Armours/Boots/FourBootsStrDex4Endgame	Shankgonne
Metadata/Items/Armours/Boots/FourBootsStrInt2Endgame	Wake of Destruction
Metadata/Items/Armours/Boots/FourBootsDexInt2Endgame	Ghostmarch
Metadata/Items/Armours/Boots/FourBootsDexInt3Endgame	Powertread
Metadata/Items/Armours/Shields/FourShieldStr3Endgame	Doomgate
Metadata/Items/Armours/Shields/FourShieldStr6Endgame	Lycosidae
Metadata/Items/Armours/Shields/FourShieldStr8Endgame	The Surrender
Metadata/Items/Armours/Shields/FourShieldStrDex2Endgame	Merit of Service
Metadata/Items/Armours/Shields/FourShieldStrDex4Endgame	Feathered Fortress
Metadata/Items/Armours/Shields/FourShieldStrInt2Endgame	Oaksworn
Metadata/Items/Armours/Shields/FourShieldStrInt4Endgame	Crest of Ardura
Metadata/Items/Armours/Shields/FourShieldStrInt6Endgame	Rise of the Phoenix
Metadata/Items/Armours/Shields/FourShieldDex3Endgame	Rondel de Ezo
Metadata/Items/Armours/Shields/FourShieldDex6Endgame	Silverthorne
Metadata/Items/Armours/Focii/FourFocus3Endgame	Effigy of Cruelty
Metadata/Items/Armours/Focii/FourFocus6Endgame	The Eternal Spark
Metadata/Items/Armours/Focii/FourFocus8Endgame	Rathpith Globe
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace3Endgame	Frostbreath
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace6Endgame	Seeing Stars
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace2Endgame	Wylund's Stake
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace5Endgame	Sculpted Suffering
Metadata/Items/Weapons/OneHandWeapons/OneHandMaces/FourOneHandMace7Endgame	Nebuloch
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace3Endgame	Trephina
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace6Endgame	Shyaba
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace2Endgame	Hrimnor's Hymn
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace5Endgame	The Empty Roar
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace8Endgame	Quecholli
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace7Endgame	Chober Chaber
Metadata/Items/Weapons/TwoHandWeapons/TwoHandMaces/FourTwoHandMace10Endgame	Marohi Erqi
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff3Endgame	The Sentry
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff5Endgame	Matsya
Metadata/Items/Weapons/TwoHandWeapons/Staves/FourQuarterstaff2Endgame	Pillar of the Caged God
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow2Endgame	Quill Rain
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow5Endgame	Doomfletch
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow6Endgame	Death's Harp
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow7Endgame	Voltaxic Rift
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow8Endgame	Slivertongue
Metadata/Items/Weapons/TwoHandWeapons/Bows/FourBow9Endgame	Fairgraves' Curse
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow2Endgame	Rampart Raptor
Metadata/Items/Weapons/TwoHandWeapons/Crossbows/FourCrossbow5Endgame	Double Vision
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear2Endgame	Tyranny's Grip
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear4Endgame	Skysliver
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear6Endgame	Tangletongue
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear3Endgame	Chainsting
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear5Endgame	Daevata's Wind
Metadata/Items/Weapons/OneHandWeapons/OneHandSpears/FourSpear7Endgame	Saitha's Spear
Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman4Endgame	Hysseg's Claw
Metadata/Items/Weapons/TwoHandWeapons/Talismans/Talisman8Endgame	The Flesh Poppet
